asset_id,asset_name,ip_address,vuln_details.asset_count,vuln_details.asset_fixed_count,vuln_details.asset_mitigated_count,vuln_details.finding_number,vuln_details.finding_name,vuln_details.finding_count,vuln_details.finding_cve,vuln_details.finding_discovered,vuln_details.finding_exploitable,vuln_details.finding_iava,vuln_details.finding_result,vuln_details.finding_severity,vuln_details.finding_status,vuln_details.issue_open_count,vuln_details.issue_closed_count,vuln_details.issues,vuln_details.scan_date,vuln_details.scan_type,vuln_details.due_date
17276780,eddbms01.tul.aa.com,10.84.20.163,1,0,0,156860-3ce2455c6e5d648ce83074f5ad3f087e,Apache Log4j 1.x Multiple Vulnerabilities,1,"CVE-2020-9488,CVE-2022-23307,CVE-2022-23305,CVE-2022-23302,CVE-2019-17571",2022-04-26 19:44:35,0,,FAILED,Critical,Active,0,0,,2022-05-10 06:01:52,NESSUS,
17276780,eddbms01.tul.aa.com,10.84.20.163,1,0,0,156032-bfbc3c101214e9b324232c6d71522a87,Apache Log4j Unsupported Version Detection,1,,2022-04-26 19:44:35,0,,FAILED,Critical,Active,0,0,,2022-05-10 06:01:52,NESSUS,
